,,booking_id.jan,amount.jan,room_night.jan,booking_id.feb,amount.feb,room_night.feb,booking_id.march,amount.march,room_night.feb
151,30995,1.0,2404.0,,,,,,,
152,30999,1.0,1949.0,1 days 00:00:00.000000000,,,,,,
153,31449,1.0,2469.0,1 days 00:00:00.000000000,2.0,21951.0,2 days 00:00:00.000000000,,,2 days 00:00:00.000000000
154,31960,1.0,7180.0,3 days 00:00:00.000000000,,,,,,
155,32390,1.0,13256.0,3 days 00:00:00.000000000,,,,,,
156,32837,2.0,4353.0,1 days 00:00:00.000000000,,,,,,
157,32986,1.0,1559.0,1 days 00:00:00.000000000,,,,,,
158,33021,1.0,2252.0,,1.0,2924.0,,,,
159,33193,1.0,2648.0,1 days 00:00:00.000000000,,,,,,
160,33288,1.0,2599.0,1 days 00:00:00.000000000,,,,,,
161,33359,1.0,3054.0,1 days 00:00:00.000000000,,,,,,
162,33493,2.0,6756.0,2 days 00:00:00.000000000,,,,2.0,5263.0,
163,33581,1.0,2363.0,1 days 00:00:00.000000000,1.0,2729.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
164,33824,2.0,5588.0,1 days 00:00:00.000000000,1.0,2534.0,,,,
165,33926,1.0,2469.0,1 days 00:00:00.000000000,2.0,5198.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
166,33945,2.0,10784.0,2 days 00:00:00.000000000,,,,,,
167,33978,1.0,4874.0,1 days 00:00:00.000000000,,,,1.0,8705.0,
168,34633,1.0,3205.0,,,,,,,
169,34654,2.0,4418.0,2 days 00:00:00.000000000,,,,,,
170,34712,1.0,3899.0,1 days 00:00:00.000000000,1.0,4224.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
171,35292,1.0,3834.0,1 days 00:00:00.000000000,,,,,,
172,35354,2.0,13066.0,5 days 00:00:00.000000000,,,,,,
173,35610,1.0,2079.0,1 days 00:00:00.000000000,,,,,,
174,35729,2.0,4532.0,,,,,,,
175,35857,1.0,14621.0,3 days 00:00:00.000000000,,,,,,
176,35923,1.0,1665.0,,,,,,,
177,36718,1.0,2794.0,,,,,,,
178,36787,1.0,2284.0,1 days 00:00:00.000000000,,,,,,
179,36818,1.0,4417.0,2 days 00:00:00.000000000,,,,,,
180,37363,1.0,13644.0,,,,,,,
181,37423,2.0,12689.0,5 days 00:00:00.000000000,2.0,14212.0,6 days 00:00:00.000000000,,,6 days 00:00:00.000000000
182,37981,3.0,5912.0,2 days 00:00:00.000000000,,,,1.0,2014.0,
