city,hotel_id,amount_sum
Gurgaon,400,18189
Gurgaon,417,136406
Gurgaon,420,16110
Gurgaon,440,24104
Gurgaon,447,3573
Gurgaon,448,47687
Gurgaon,449,91792
Gurgaon,459,5003
Gurgaon,463,2014
Gurgaon,466,11009
Gurgaon,489,9877
Gurgaon,513,11500
Gurgaon,515,31317
Gurgaon,517,4483
Gurgaon,522,57173
Gurgaon,523,25597
Gurgaon,578,19167
Gurgaon,629,61127
Gurgaon,653,133183
Gurgaon,655,25924
Gurgaon,848,43514
Gurgaon,955,79965
Hyderabad,164,14815
Hyderabad,277,12796
Hyderabad,342,19688
Hyderabad,345,23754
Hyderabad,478,25596
Hyderabad,483,6497
Hyderabad,505,22091
Hyderabad,609,10527
Hyderabad,626,11520
Hyderabad,661,2274
Hyderabad,666,32681
Hyderabad,689,24043
Hyderabad,693,8317
Hyderabad,702,20786
Hyderabad,703,58151
Hyderabad,704,50409
Hyderabad,706,5522
Hyderabad,808,41125
Hyderabad,831,8707
Hyderabad,843,10527
Hyderabad,877,27353
Hyderabad,979,33658
Hyderabad,984,2469
Hyderabad,996,36709
Hyderabad,997,49447
Hyderabad,998,19363
Jaipur,123,5976
Jaipur,124,44580
Jaipur,139,21421
Jaipur,140,14621
Jaipur,157,2079
Jaipur,169,7209
Jaipur,192,22610
Jaipur,249,1884
Jaipur,268,4027
Jaipur,326,2274
Jaipur,450,9355
Jaipur,507,12083
Jaipur,514,27028
Jaipur,541,10266
Jaipur,585,12212
Jaipur,586,1689
Jaipur,599,10157
Jaipur,628,47357
Jaipur,660,3247
Jaipur,665,6107
Jaipur,697,11370
Jaipur,724,56537
Jaipur,758,6173
Jaipur,862,25546
Jaipur,932,20915
Kolkata,294,5257
Kolkata,306,29241
Kolkata,373,9485
Kolkata,687,5717
Kolkata,753,10368
Kolkata,858,4354
Kolkata,886,3054
Kolkata,919,7340
Kolkata,926,12281
Kolkata,953,3509
Kolkata,956,21700
Mumbai,68,35286
Mumbai,96,24238
Mumbai,111,11501
Mumbai,117,143225
Mumbai,136,65958
Mumbai,183,2274
Mumbai,186,37556
Mumbai,188,26314
Mumbai,223,9682
Mumbai,226,92343
Mumbai,234,27681
Mumbai,235,42096
Mumbai,267,138677
Mumbai,282,2274
Mumbai,288,13581
Mumbai,325,20077
Mumbai,329,19561
Mumbai,330,29569
Mumbai,335,17141
Mumbai,336,21900
