,jan_unique,feb_unique,march_unique
68,13402,37423.0,8656.0
69,31960,128997.0,51469.0
70,35729,67744.0,41098.0
71,117605,31412.0,17049.0
72,119500,71800.0,140507.0
73,62595,160269.0,66909.0
74,71800,152224.0,57569.0
75,107105,167471.0,83992.0
76,37423,104980.0,76836.0
77,128513,45386.0,96585.0
78,190136,117378.0,70558.0
79,78626,172653.0,30752.0
80,8873,138286.0,85427.0
81,57801,56000.0,163829.0
82,16015,72648.0,159448.0
83,117378,85555.0,47251.0
84,32390,50501.0,57801.0
85,15775,43620.0,98247.0
86,85555,129331.0,134930.0
87,34633,106210.0,31412.0
88,35354,26389.0,648.0
89,137573,147455.0,87768.0
90,13793,164571.0,105035.0
91,38109,195339.0,117378.0
92,106210,30990.0,57757.0
93,195339,24587.0,15169.0
94,91702,129675.0,139399.0
95,46373,61353.0,138286.0
96,47963,47695.0,186707.0
97,35610,196554.0,173516.0
98,191775,16603.0,26389.0
99,47942,196829.0,196829.0
100,115548,133399.0,124236.0
101,49619,68720.0,52281.0
102,12023,86187.0,147466.0
103,72648,77179.0,82641.0
104,67726,30963.0,194199.0
105,33288,47342.0,55369.0
106,197674,22852.0,100829.0
107,92482,60635.0,73181.0
108,133399,190136.0,52617.0
109,65660,124084.0,113777.0
110,71338,52617.0,168544.0
111,112913,172114.0,97348.0
112,82881,181599.0,141329.0
113,77179,137492.0,87053.0
114,155955,69522.0,127496.0
115,76850,93351.0,109973.0
116,42304,140961.0,82881.0
117,109973,94520.0,82026.0
118,79360,9065.0,73651.0
119,197635,113815.0,132459.0
120,95113,98785.0,99817.0
121,11342,120340.0,179948.0
122,163441,154316.0,199850.0
123,6989,154660.0,122311.0
124,195788,16954.0,118052.0
125,26072,166884.0,79360.0
126,192648,133948.0,191727.0
127,9197,146718.0,15976.0
128,97775,171586.0,3427.0
129,43374,189926.0,86713.0
130,137492,172055.0,168634.0
131,67129,188854.0,172114.0
132,140961,46434.0,137492.0
133,100962,119565.0,15445.0
134,8240,53008.0,55490.0
135,137438,189735.0,33838.0
136,87218,111098.0,149275.0
137,53022,180388.0,142291.0
138,33193,133250.0,41034.0
139,171363,183032.0,74224.0
140,85876,59828.0,128523.0
141,154952,134266.0,55660.0
142,189029,70263.0,4328.0
143,197267,197333.0,151151.0
144,100627,162892.0,162206.0
145,139720,65977.0,184825.0
146,150865,74427.0,181249.0
147,166969,119466.0,111743.0
148,29563,8864.0,53008.0
149,21667,156740.0,170335.0
150,54558,198706.0,130583.0
151,160575,162144.0,153664.0
152,177755,135454.0,189735.0
153,137078,93346.0,188854.0
154,14687,183794.0,101173.0
155,61768,64673.0,84287.0
156,181249,34712.0,183032.0
157,139865,111950.0,134413.0
158,119565,185319.0,183919.0
159,29684,76262.0,56558.0
160,6513,154668.0,82864.0
161,183919,181737.0,121464.0
162,162144,107041.0,66504.0
163,188854,17980.0,21651.0
164,72807,196670.0,64580.0
165,121464,146846.0,106125.0
166,78264,188409.0,67743.0
167,143969,199593.0,137899.0
168,119466,41043.0,154070.0
169,94377,46976.0,156506.0
170,112615,112410.0,111771.0
171,133250,8760.0,31316.0
172,69769,9108.0,146507.0
173,159675,79319.0,11989.0
174,21016,168985.0,183359.0
175,194263,91632.0,91936.0
176,189124,135886.0,145651.0
177,7701,74343.0,4377.0
178,152290,129101.0,122970.0
179,18979,197416.0,18586.0
180,34712,109142.0,17715.0
181,19531,30922.0,2263.0
182,107631,71982.0,99465.0
183,163562,45602.0,59211.0
184,73708,194849.0,33978.0
185,40182,187033.0,19221.0
186,85715,147037.0,728.0
187,172006,23393.0,10067.0
188,159422,43107.0,145519.0
189,128921,191615.0,76847.0
190,134918,119953.0,40129.0
191,29885,31583.0,8605.0
192,24613,171359.0,2861.0
193,64956,51367.0,62527.0
194,182461,40981.0,107041.0
195,2162,18934.0,198621.0
196,33978,134413.0,186697.0
197,7412,83516.0,198949.0
198,60319,55575.0,193867.0
199,12255,146873.0,158427.0
200,3585,27905.0,142836.0
201,182493,92694.0,43107.0
